Municipio;Tipo de dato;Periodo;Total
03065 Elx/Elche;Variación anual;2020;1,4
03065 Elx/Elche;Variación anual;2019;3,6
03065 Elx/Elche;Variación anual;2018;2,3
03065 Elx/Elche;Variación anual;2017;1,8
03065 Elx/Elche;Variación anual;2016;1,5
03065 Elx/Elche;Variación anual;2015;1,8
03065 Elx/Elche;Variación anual;2014;-0,3
03065 Elx/Elche;Variación anual;2013;-2,6
03065 Elx/Elche;Variación anual;2012;-1,9
03065 Elx/Elche;Variación anual;2011;..
03066 Elda;Índice;2023;116,566
03066 Elda;Índice;2022;114,094
03066 Elda;Índice;2021;110,754
03066 Elda;Índice;2020;109,13
