Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Tamaño del hogar;Periodo;Total
Total Nacional;Andalucía;Almería;4 personas o más;2033;81.476
Total Nacional;Andalucía;Almería;4 personas o más;2032;81.352
Total Nacional;Andalucía;Almería;4 personas o más;2031;81.145
Total Nacional;Andalucía;Almería;4 personas o más;2030;80.820
Total Nacional;Andalucía;Almería;4 personas o más;2029;80.348
Total Nacional;Andalucía;Almería;4 personas o más;2028;79.735
Total Nacional;Andalucía;Almería;4 personas o más;2027;78.904
Total Nacional;Andalucía;Almería;4 personas o más;2026;77.887
Total Nacional;Andalucía;Almería;4 personas o más;2025;76.686
Total Nacional;Andalucía;Almería;4 personas o más;2024;75.427
Total Nacional;Andalucía;Almería;Tamaño medio;2039;2,43
Total Nacional;Andalucía;Almería;Tamaño medio;2038;2,44
Total Nacional;Andalucía;Almería;Tamaño medio;2037;2,45
Total Nacional;Andalucía;Almería;Tamaño medio;2036;2,46
Total Nacional;Andalucía;Almería;Tamaño medio;2035;2,47
Total Nacional;Andalucía;Almería;Tamaño medio;2034;2,48
Total Nacional;Andalucía;Almería;Tamaño medio;2033;2,5
Total Nacional;Andalucía;Almería;Tamaño medio;2032;2,51
Total Nacional;Andalucía;Almería;Tamaño medio;2031;2,52
Total Nacional;Andalucía;Almería;Tamaño medio;2030;2,53
Total Nacional;Andalucía;Almería;Tamaño medio;2029;2,54
Total Nacional;Andalucía;Almería;Tamaño medio;2028;2,56
Total Nacional;Andalucía;Almería;Tamaño medio;2027;2,57
Total Nacional;Andalucía;Almería;Tamaño medio;2026;2,58
Total Nacional;Andalucía;Almería;Tamaño medio;2025;2,59
Total Nacional;Andalucía;Almería;Tamaño medio;2024;2,6
Total Nacional;Andalucía;Huelva;Total;2039;246.177
Total Nacional;Andalucía;Huelva;Total;2038;244.461
Total Nacional;Andalucía;Huelva;Total;2037;242.654
Total Nacional;Andalucía;Huelva;Total;2036;240.799
