País de nacimiento;Nacionalidad;Periodo;Total
Francia;Española;2021S1;437
Francia;Española;2020S2;568
Francia;Española;2020S1;351
Francia;Española;2019S2;559
Francia;Española;2019S1;450
Francia;Española;2018S2;565
Francia;Española;2018S1;490
Francia;Española;2017S2;578
Francia;Española;2017S1;413
Francia;Española;2016S2;509
Francia;Española;2016S1;398
Francia;Española;2015S2;490
Francia;Española;2015S1;425
Francia;Española;2014S2;411
Francia;Española;2014S1;301
Francia;Española;2013S2;321
Francia;Española;2013S1;271
Francia;Española;2012S2;323
Francia;Española;2012S1;227
Francia;Española;2011S2;352
Francia;Española;2011S1;250
Francia;Española;2010S2;359
Francia;Española;2010S1;230
Francia;Española;2009S2;291
Francia;Española;2009S1;269
Francia;Española;2008S2;387
Francia;Española;2008S1;266
Francia;Extranjero;2022S1;5.023
Francia;Extranjero;2021S2;6.268
Francia;Extranjero;2021S1;5.316
Francia;Extranjero;2020S2;5.553
Francia;Extranjero;2020S1;3.433
Francia;Extranjero;2019S2;5.832
Francia;Extranjero;2019S1;4.672
Francia;Extranjero;2018S2;5.737
Francia;Extranjero;2018S1;4.592
Francia;Extranjero;2017S2;5.688
Francia;Extranjero;2017S1;4.453
Francia;Extranjero;2016S2;4.646
